Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Tylianakis, J.M., Morris, R.J.","8514120500;7404060155;","Ecological Networks Across Environmental Gradients",2017,"Annual Review of Ecology, Evolution, and Systematics","48",,,"25","48",,184,"10.1146/annurev-ecolsys-110316-022821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033234055&doi=10.1146%2fannurev-ecolsys-110316-022821&partnerID=40&md5=dcbd962c2d4b33eb6e6d3bd1e2ab0cb2",Article,"Final","",Scopus,2-s2.0-85033234055
"Majhi, S., Perc, M., Ghosh, D.","57144015200;6505878570;56225913500;","Chimera states in a multilayer network of coupled and uncoupled neurons",2017,"Chaos","27","7","073109","","",,164,"10.1063/1.4993836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025152124&doi=10.1063%2f1.4993836&partnerID=40&md5=099af1d0063082616f9667ac35b165b6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85025152124
"Zenke, F., Ganguli, S.","23991970400;8422780800;","SuperSpike: Supervised learning in multilayer spiking neural networks",2018,"Neural Computation","30","6",,"1514","1541",,131,"10.1162/neco_a_01086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047469212&doi=10.1162%2fneco_a_01086&partnerID=40&md5=10fcd99482c2b95bd4c2f1ce53d2c12b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85047469212
"Zhao, H., Liu, H., Hu, W., Yan, X.","55513434800;57192573158;57202500248;57207233779;","Anomaly detection and fault analysis of wind turbine components based on deep learning network",2018,"Renewable Energy","127",,,"825","834",,116,"10.1016/j.renene.2018.05.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048539504&doi=10.1016%2fj.renene.2018.05.024&partnerID=40&md5=645bc92238773b0371c6c0d1e1a67cd0",Article,"Final","",Scopus,2-s2.0-85048539504
"Sporns, O.","7004710859;","Graph theory methods: Applications in brain networks",2018,"Dialogues in Clinical Neuroscience","20","2",,"111","120",,112,"10.31887/DCNS.2018.20.2/OSPORNS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060649191&doi=10.31887%2fDCNS.2018.20.2%2fOSPORNS&partnerID=40&md5=7fca5896b4685328c32f63229203d6cd",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85060649191
"Xia, C., Li, X., Wang, Z., Perc, M.","16205447200;57203418700;57192377511;6505878570;","Doubly effects of information sharing on interdependent network reciprocity",2018,"New Journal of Physics","20","7","075005","","",,84,"10.1088/1367-2630/aad140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051625446&doi=10.1088%2f1367-2630%2faad140&partnerID=40&md5=32e98dfb2d6a98e796110faa05077bbf",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85051625446
"Morales, F., Ruiz, M., Gifre, L., Contreras, L.M., López, V., Velasco, L.","57188755321;57210277568;55876737900;55819446800;8682312900;16551353200;","Virtual network topology adaptability based on data analytics for traffic prediction",2017,"Journal of Optical Communications and Networking","9","1","A35","","",,84,"10.1364/JOCN.9.000A35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991018132&doi=10.1364%2fJOCN.9.000A35&partnerID=40&md5=fd6b182f7607e46e11005d1c47742ad6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84991018132
"De Bacco, C., Power, E.A., Larremore, D.B., Moore, C.","56156609900;55809354300;36925731100;35610564000;","Community detection, link prediction, and layer interdependence in multilayer networks",2017,"Physical Review E","95","4","042317","","",,82,"10.1103/PhysRevE.95.042317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018611861&doi=10.1103%2fPhysRevE.95.042317&partnerID=40&md5=fe90e4443ece2d46bf8bd2dfbdc3fb62",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85018611861
"Mei, G., Wu, X., Wang, Y., Hu, M., Lu, J.-A., Chen, G.","57127691300;14064177100;53165130600;57193320626;25958170200;36012928800;","Compressive-Sensing-Based Structure Identification for Multilayer Networks",2018,"IEEE Transactions on Cybernetics","48","2","7850964","754","764",,80,"10.1109/TCYB.2017.2655511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013020875&doi=10.1109%2fTCYB.2017.2655511&partnerID=40&md5=f23ddca06a609c18eaeecbf15fcf2908",Article,"Final","",Scopus,2-s2.0-85013020875
"Marcucci, E., Le Pira, M., Gatta, V., Inturri, G., Ignaccolo, M., Pluchino, A.","6602255083;56780165600;35109007100;14054058500;57194223129;6602888162;","Simulating participatory urban freight transport policy-making: Accounting for heterogeneous stakeholders’ preferences and interaction effects",2017,"Transportation Research Part E: Logistics and Transportation Review","103",,,"69","86",,80,"10.1016/j.tre.2017.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018795043&doi=10.1016%2fj.tre.2017.04.006&partnerID=40&md5=fdb6cb59926d3f7ee6a670bdd72facc6",Article,"Final","",Scopus,2-s2.0-85018795043
"Battiston, F., Perc, M., Latora, V.","56122454100;6505878570;7003540219;","Determinants of public cooperation in multiplex networks",2017,"New Journal of Physics","19","7","073017","","",,77,"10.1088/1367-2630/aa6ea1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026741110&doi=10.1088%2f1367-2630%2faa6ea1&partnerID=40&md5=57a8e1628eb82149171f69410811d550",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85026741110
"Nicosia, V., Skardal, P.S., Arenas, A., Latora, V.","14054540300;51462088200;7006307933;7003540219;","Collective Phenomena Emerging from the Interactions between Dynamical Processes in Multiplex Networks",2017,"Physical Review Letters","118","13","138302","","",,75,"10.1103/PhysRevLett.118.138302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016828943&doi=10.1103%2fPhysRevLett.118.138302&partnerID=40&md5=3ceb89e9dbd8aa2429dc585f09d429f8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85016828943
"Taylor, D., Myers, S.A., Clauset, A., Porter, M.A., Mucha, P.J.","24722343100;54881722800;8298347800;7201468248;7004946624;","Eigenvector-based centrality measures for temporal networks",2017,"Multiscale Modeling and Simulation","15","1",,"537","574",,73,"10.1137/16M1066142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017001195&doi=10.1137%2f16M1066142&partnerID=40&md5=d45755932a4dcaab752ff04337245730",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85017001195
"He, W., Chen, G., Han, Q.-L., Du, W., Cao, J., Qian, F.","16232981600;36012928800;7202485252;7202953420;7403354075;53663472900;","Multiagent systems on multilayer networks: Synchronization analysis and network design",2017,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","47","7","7869422","1655","1667",,71,"10.1109/TSMC.2017.2659759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021675410&doi=10.1109%2fTSMC.2017.2659759&partnerID=40&md5=0d6a06976dd9dd27b4f00e2dbdae34a8",Article,"Final","",Scopus,2-s2.0-85021675410
